nombre_pais,nombre,item1,valor1,item2,valor2
País de publicación: SE,Göteborgs Botaniska Trädgård,Observaciones,1,Especies,1
País de publicación:,International Centre for Integrated Mountain Development,Observaciones,1,Especies,1
País de publicación: FR,Le Beffroi Musée Boucher de Perthes - Manessier,Observaciones,1,Especies,1
País de publicación: US,Michigan State University Herbarium,Observaciones,1,Especies,1
País de publicación: US,Mississippi Entomological Museum,Observaciones,1,Especies,1
País de publicación: BR,Museu de Ciências e Tecnologia - PUCRS,Observaciones,1,Especies,1
País de publicación: NO,Museum Stavanger,Observaciones,1,Especies,-
País de publicación: US,Museum of Southwestern Biology,Observaciones,1,Especies,-
País de publicación: US,New Mexico State Collection of Arthropods,Observaciones,1,Especies,1
País de publicación: US,North Carolina State Museum of Natural Sciences,Observaciones,1,Especies,-
País de publicación: US,North Carolina State University Vascular Plant Herbarium (NCSC),Observaciones,1,Especies,1
País de publicación: BR,Pontifícia Universidade Católica do Rio de Janeiro,Observaciones,1,Especies,1
País de publicación: BR,Sistema de Informação sobre a Biodiversidade Brasileira - SiBBr,Observaciones,1,Especies,1
País de publicación: US,"South Dakota State University, C. A. Taylor Herbarium (SDC)",Observaciones,1,Especies,1
País de publicación: US,"The Non-vertebrate Paleontology Laboratory, Jackson School Museum of Earth History, University of Texas at Austin",Observaciones,1,Especies,-
País de publicación: US,UCLA-Dickey Collection (UCLA-Dickey),Observaciones,1,Especies,1
País de publicación: GT,Universidad del Valle de Guatemala,Observaciones,1,Especies,1
País de publicación: BR,Universidade Federal de Viçosa,Observaciones,1,Especies,-
País de publicación: BR,Universidade Federal do Rio Grande do Sul,Observaciones,1,Especies,1
País de publicación: US,University of Alabama Biodiversity and Systematics,Observaciones,1,Especies,1
País de publicación: NO,University of Bergen,Observaciones,1,Especies,1
País de publicación: US,"University of California, Davis",Observaciones,1,Especies,1
País de publicación: AT,University of Vienna - Herbarium WU,Observaciones,1,Especies,-
País de publicación: CA,Université de Montréal Biodiversity Centre,Observaciones,1,Especies,1
País de publicación: US,West Virginia University Herbarium (WVA),Observaciones,1,Especies,1
País de publicación: AU,Western Australian Museum,Observaciones,1,Especies,-
